codigo_dane,pai_et_municipios,establecimientos_educativos,matriculados,registrados,presentes,publicados
2136700002,SAN PABLO,INSTITUCION EDUCATIVA TECNICA AGROPECUARIA Y EMPRESARIAL POZO AZUL,39,36,36,36
113670001171,SAN PABLO,INSTITUCIÓN EDUCATIVA TÉCNICA LA INTEGRADA,131,97,96,96
313670000131,SAN PABLO,INSTITUCIÓN EDUCATIVA TÉCNICA AGROPECUARIA Y COMERCIAL DE SAN PABLO,5,92,89,89
213673000421,SANTA CATALINA,INSTITUCIÓN EDUCATIVA TÉCNICA ACUÍCOLA MIGUEL NEVADO NEVADO DE GALERAZAMBA,32,30,30,30
213673000243,SANTA CATALINA,INSTITUCION EDUCATIVA ACADEMICA Y TECNICA DE LOMA ARENA,91,90,89,89
113673000028,SANTA CATALINA,INSTITUCIÓN EDUCATIVA TÉCNICA AGROPECUARIA SOSTENIBLE Y AMBIENTAL  FELIPE SANTIAGO ESCOBAR,87,87,87,87
113683000085,SANTA ROSA,INSTITUCION EDUCATIVA SANTA ROSA DE LIMA,112,114,114,114
113683000051,SANTA ROSA,INSTITUCIÓN EDUCATIVA TÉCNICA AGROPECUARIA Y EN SISTEMAS NUESTRA SEÑORA DEL CARMEN,110,109,109,109
213744000525,SANTA ROSA DEL SUR,INSTITUCIÓN EDUCATIVA TÉCNICA  AGROINDUSTRIAL SAN BENITO,13,12,12,12
213744000371,SANTA ROSA DEL SUR,INSTITUCION EDUCATIVA ACADEMICA Y TECNICA AGROPECUARIA LOS CANELOS,15,15,14,14
213688001874,SANTA ROSA DEL SUR,INSTITUCIÓN EDUCATIVA SAN FRANCISCO,8,8,8,8
413744000516,SANTA ROSA DEL SUR,INSTITUCIÓN EDUCATIVA TÉCNICA AGROPECUARIA ALFREDO NOBEL,81,79,78,78
113688011051,SANTA ROSA DEL SUR,INSTITUCION EDUCATIVA TECNICA EN INFORMATICA MARIA MONTESSORI,91,90,89,89
113688010909,SANTA ROSA DEL SUR,INSTITUCION EDUCATIVA TECNICO COMERCIAL MARIA INMACULADA,79,82,82,82
213688001882,SANTA ROSA DEL SUR,INSTITUCIÓN EDUCATIVA SAN LUCAS,10,10,10,10
213744000274,SANTA ROSA DEL SUR,INSTITUCIÓN EDUCATIVA VILLA FLOR,4,3,3,3
313688011459,SANTA ROSA DEL SUR,CORPORACION E INSTITUCION EDUCATIVA ALBERT EINSTEIN C.I.N.E.A.E,0,9,6,6
213688000096,SANTA ROSA DEL SUR,INSTITUCIÓN EDUCATIVA TÉCNICA EMPRESARIAL BUENA VISTA,13,13,12,12
213744001238,SIMITÍ,INSTITUCIÓN EDUCATIVA TÉCNICA AGROPECUARIA Y EMPRESARIAL  DE MONTERREY,17,16,16,16
113744002329,SIMITÍ,INSTITUCIÓN EDUCATIVA TÉCNICA AGROPECUARIA Y COMERCIAL EUTIMIO GUTIERREZ MANJON,67,64,63,63
213744001114,SIMITÍ,INSTITUCIÓN EDUCATIVA 27 DE OCTUBRE DE ANIMAS ALTA,52,51,51,51
213744000096,SIMITÍ,INSTITUCIÓN EDUCATIVA AGROPECUARIA ORIGINAL DE LAS BRISAS,8,8,8,8
213744002285,SIMITÍ,INSTITUCIÓN EDUCATIVA DEL CERRO DE VERACRUZ,12,12,12,12
213744002111,SIMITÍ,INSTITUCIÓN EDUCATIVA TÉCNICA DE SAN BLAS,10,11,11,11
113760000131,SOPLAVIENTO,INSTITUCION EDUCATIVA SIMON ALMANZA JULIO,41,39,37,37
113760000018,SOPLAVIENTO,INSTITUCION EDUCATIVA TECNICA AGROPISCICOLA LICEO DEL DIQUE ENRIQUE CASTILLO JIMENEZ,78,79,79,79
213780000159,TALAIGUA NUEVO,INSTITUCIÓN EDUCATIVA TÉCNICA AGROPECUARIA  EL VESUBIO,27,24,24,24
21378000006,TALAIGUA NUEVO,INSTITUCIÓN EDUCATIVA TÉCNICA AGROPECUARIA TÓMAS DANIELS DE PATICO,47,55,53,53
313780000285,TALAIGUA NUEVO,INSTITUCIÓN EDUCATIVA DE TALAIGUA NUEVO,90,87,87,87
213780000264,TALAIGUA NUEVO,INSTITUCION EDUCATIVA TECNICA AGROPECUARIA DE TALAIGUA VIEJO,20,19,19,19
213549002599,TIQUISIO,INSTITUCIÓN EDUCATIVA DE COLORADO,20,17,17,17
413549001575,TIQUISIO,INSTITUCIÓN EDUCATIVA DE PUERTO RICO,72,67,66,66
213549002319,TIQUISIO,INSTITUCIÓN EDUCATIVA RAFAEL SEGUNDO TURIZO MARTINEZ,28,27,25,25
413549001273,TIQUISIO,INSTITUCIÓN EDUCATIVA DE TIQUISIO NUEVO,38,35,35,35
213549001207,TIQUISIO,INSTITUCIÓN EDUCATIVA DE LA VENTURA,24,24,24,24
213549002122,TIQUISIO,INSTITUCION EDUCATIVA  DE MINA SECA,15,15,15,15
213549001681,TIQUISIO,INSTITUCIÓN EDUCATIVA DE AGUAS NEGRAS,5,4,4,4
213836000581,TURBACO,INSTITUCIÓN EDUCATIVA DE CAÑAVERAL,45,43,43,43
313836000437,TURBACO,COLEGIO SURAMERICANO,14,15,15,15
